12/02/2023 13:44:27 - 0233:	 - train_loss: 0.366106:	 - test_loss: 0.412481:	 mIoU 0.6912
12/02/2023 13:44:31 - 0234:	 - train_loss: 0.375896:	 - test_loss: 0.396190:	 mIoU 0.7137
12/02/2023 13:44:35 - 0235:	 - train_loss: 0.351441:	 - test_loss: 0.389209:	 mIoU 0.7161
12/02/2023 13:44:38 - 0236:	 - train_loss: 0.347389:	 - test_loss: 0.411270:	 mIoU 0.6892
12/02/2023 13:44:42 - 0237:	 - train_loss: 0.333429:	 - test_loss: 0.393195:	 mIoU 0.7077
12/02/2023 13:44:45 - 0238:	 - train_loss: 0.356635:	 - test_loss: 0.392955:	 mIoU 0.7051
12/02/2023 13:44:49 - 0239:	 - train_loss: 0.360741:	 - test_loss: 0.395761:	 mIoU 0.7043
12/02/2023 13:44:52 - 0240:	 - train_loss: 0.328077:	 - test_loss: 0.387413:	 mIoU 0.7145
12/02/2023 13:44:56 - 0241:	 - train_loss: 0.353263:	 - test_loss: 0.385613:	 mIoU 0.7177
12/02/2023 13:44:59 - 0242:	 - train_loss: 0.328750:	 - test_loss: 0.388756:	 mIoU 0.7115
12/02/2023 13:45:03 - 0243:	 - train_loss: 0.338675:	 - test_loss: 0.395422:	 mIoU 0.7085
12/02/2023 13:45:06 - 0244:	 - train_loss: 0.335584:	 - test_loss: 0.385774:	 mIoU 0.7191
12/02/2023 13:45:10 - 0245:	 - train_loss: 0.341436:	 - test_loss: 0.382842:	 mIoU 0.7226
