31/01/2023 13:10:21 - 0217:	 - train_loss: 0.378108:	 - test_loss: 0.396090:	 mIoU 0.7174
31/01/2023 13:10:29 - 0218:	 - train_loss: 0.345486:	 - test_loss: 0.396171:	 mIoU 0.7190
31/01/2023 13:10:37 - 0219:	 - train_loss: 0.352343:	 - test_loss: 0.396583:	 mIoU 0.7241
31/01/2023 13:10:45 - 0220:	 - train_loss: 0.346342:	 - test_loss: 0.400400:	 mIoU 0.7125
31/01/2023 13:10:53 - 0221:	 - train_loss: 0.364391:	 - test_loss: 0.392729:	 mIoU 0.7276
31/01/2023 13:11:00 - 0222:	 - train_loss: 0.337280:	 - test_loss: 0.396576:	 mIoU 0.7211
31/01/2023 13:11:08 - 0223:	 - train_loss: 0.347600:	 - test_loss: 0.406907:	 mIoU 0.7082
31/01/2023 13:11:16 - 0224:	 - train_loss: 0.349388:	 - test_loss: 0.392574:	 mIoU 0.7295
31/01/2023 13:11:24 - 0225:	 - train_loss: 0.332280:	 - test_loss: 0.402290:	 mIoU 0.7159
31/01/2023 13:11:32 - 0226:	 - train_loss: 0.354171:	 - test_loss: 0.400410:	 mIoU 0.7166
31/01/2023 13:11:39 - 0227:	 - train_loss: 0.352007:	 - test_loss: 0.399666:	 mIoU 0.7203
31/01/2023 13:11:47 - 0228:	 - train_loss: 0.328586:	 - test_loss: 0.406894:	 mIoU 0.7129
31/01/2023 13:11:55 - 0229:	 - train_loss: 0.358374:	 - test_loss: 0.398514:	 mIoU 0.7239
31/01/2023 13:12:03 - 0230:	 - train_loss: 0.329161:	 - test_loss: 0.394006:	 mIoU 0.7278
31/01/2023 13:12:11 - 0231:	 - train_loss: 0.354846:	 - test_loss: 0.399649:	 mIoU 0.7208
31/01/2023 13:12:19 - 0232:	 - train_loss: 0.338411:	 - test_loss: 0.392901:	 mIoU 0.7273
31/01/2023 13:12:26 - 0233:	 - train_loss: 0.349075:	 - test_loss: 0.401831:	 mIoU 0.7110
31/01/2023 13:12:34 - 0234:	 - train_loss: 0.364906:	 - test_loss: 0.436595:	 mIoU 0.6657
31/01/2023 13:12:42 - 0235:	 - train_loss: 0.346625:	 - test_loss: 0.395690:	 mIoU 0.7208
31/01/2023 13:12:50 - 0236:	 - train_loss: 0.342520:	 - test_loss: 0.400838:	 mIoU 0.7112
31/01/2023 13:12:58 - 0237:	 - train_loss: 0.346808:	 - test_loss: 0.406320:	 mIoU 0.7080
31/01/2023 13:13:05 - 0238:	 - train_loss: 0.357853:	 - test_loss: 0.395854:	 mIoU 0.7202
31/01/2023 13:13:13 - 0239:	 - train_loss: 0.360247:	 - test_loss: 0.396255:	 mIoU 0.7190
31/01/2023 13:13:21 - 0240:	 - train_loss: 0.364813:	 - test_loss: 0.396146:	 mIoU 0.7203
