12/02/2023 15:12:34 - 0136:	 - train_loss: 0.449519:	 - test_loss: 0.495645:	 mIoU 0.6305
12/02/2023 15:12:37 - 0137:	 - train_loss: 0.422139:	 - test_loss: 0.461186:	 mIoU 0.6706
12/02/2023 15:12:41 - 0138:	 - train_loss: 0.427875:	 - test_loss: 0.455521:	 mIoU 0.6766
12/02/2023 15:12:44 - 0139:	 - train_loss: 0.404481:	 - test_loss: 0.461994:	 mIoU 0.6764
12/02/2023 15:12:48 - 0140:	 - train_loss: 0.414426:	 - test_loss: 0.465574:	 mIoU 0.6712
12/02/2023 15:12:51 - 0141:	 - train_loss: 0.401304:	 - test_loss: 0.461650:	 mIoU 0.6696
12/02/2023 15:12:55 - 0142:	 - train_loss: 0.456339:	 - test_loss: 0.477407:	 mIoU 0.6540
12/02/2023 15:12:58 - 0143:	 - train_loss: 0.417620:	 - test_loss: 0.447411:	 mIoU 0.6895
12/02/2023 15:13:02 - 0144:	 - train_loss: 0.402569:	 - test_loss: 0.444753:	 mIoU 0.6919
12/02/2023 15:13:05 - 0145:	 - train_loss: 0.432126:	 - test_loss: 0.448673:	 mIoU 0.6766
12/02/2023 15:13:09 - 0146:	 - train_loss: 0.392957:	 - test_loss: 0.453408:	 mIoU 0.6755
12/02/2023 15:13:12 - 0147:	 - train_loss: 0.432513:	 - test_loss: 0.450935:	 mIoU 0.6810
12/02/2023 15:13:15 - 0148:	 - train_loss: 0.390947:	 - test_loss: 0.445961:	 mIoU 0.6884
12/02/2023 15:13:19 - 0149:	 - train_loss: 0.439189:	 - test_loss: 0.474570:	 mIoU 0.6692
12/02/2023 15:13:22 - 0150:	 - train_loss: 0.434294:	 - test_loss: 0.457172:	 mIoU 0.6799
12/02/2023 15:13:26 - 0151:	 - train_loss: 0.420791:	 - test_loss: 0.462519:	 mIoU 0.6612
12/02/2023 15:13:29 - 0152:	 - train_loss: 0.397505:	 - test_loss: 0.464122:	 mIoU 0.6662
12/02/2023 15:13:33 - 0153:	 - train_loss: 0.398856:	 - test_loss: 0.462101:	 mIoU 0.6664
12/02/2023 15:13:36 - 0154:	 - train_loss: 0.408354:	 - test_loss: 0.455767:	 mIoU 0.6736
12/02/2023 15:13:40 - 0155:	 - train_loss: 0.395456:	 - test_loss: 0.454712:	 mIoU 0.6722
12/02/2023 15:13:43 - 0156:	 - train_loss: 0.414585:	 - test_loss: 0.439721:	 mIoU 0.6941
12/02/2023 15:13:47 - 0157:	 - train_loss: 0.411562:	 - test_loss: 0.464094:	 mIoU 0.6667
12/02/2023 15:13:50 - 0158:	 - train_loss: 0.378326:	 - test_loss: 0.452546:	 mIoU 0.6779
12/02/2023 15:13:54 - 0159:	 - train_loss: 0.401828:	 - test_loss: 0.447130:	 mIoU 0.6800
12/02/2023 15:13:57 - 0160:	 - train_loss: 0.382884:	 - test_loss: 0.448944:	 mIoU 0.6770
12/02/2023 15:14:01 - 0161:	 - train_loss: 0.390426:	 - test_loss: 0.451328:	 mIoU 0.6754
12/02/2023 15:14:04 - 0162:	 - train_loss: 0.397193:	 - test_loss: 0.452451:	 mIoU 0.6759
12/02/2023 15:14:07 - 0163:	 - train_loss: 0.401103:	 - test_loss: 0.441650:	 mIoU 0.6913
12/02/2023 15:14:11 - 0164:	 - train_loss: 0.442853:	 - test_loss: 0.467484:	 mIoU 0.6606
12/02/2023 15:14:14 - 0165:	 - train_loss: 0.394766:	 - test_loss: 0.455996:	 mIoU 0.6739
12/02/2023 15:14:18 - 0166:	 - train_loss: 0.395821:	 - test_loss: 0.468382:	 mIoU 0.6598
12/02/2023 15:14:21 - 0167:	 - train_loss: 0.388310:	 - test_loss: 0.453936:	 mIoU 0.6700
12/02/2023 15:14:25 - 0168:	 - train_loss: 0.392234:	 - test_loss: 0.444832:	 mIoU 0.6832
12/02/2023 15:14:28 - 0169:	 - train_loss: 0.386049:	 - test_loss: 0.445968:	 mIoU 0.6828
12/02/2023 15:14:32 - 0170:	 - train_loss: 0.404424:	 - test_loss: 0.445319:	 mIoU 0.6848
12/02/2023 15:14:35 - 0171:	 - train_loss: 0.393093:	 - test_loss: 0.450602:	 mIoU 0.6758
12/02/2023 15:14:39 - 0172:	 - train_loss: 0.396244:	 - test_loss: 0.452252:	 mIoU 0.6707
12/02/2023 15:14:42 - 0173:	 - train_loss: 0.406757:	 - test_loss: 0.449449:	 mIoU 0.6735
12/02/2023 15:14:46 - 0174:	 - train_loss: 0.396319:	 - test_loss: 0.443008:	 mIoU 0.6861
12/02/2023 15:14:49 - 0175:	 - train_loss: 0.405530:	 - test_loss: 0.454682:	 mIoU 0.6644
12/02/2023 15:14:53 - 0176:	 - train_loss: 0.419975:	 - test_loss: 0.445772:	 mIoU 0.6793
12/02/2023 15:14:56 - 0177:	 - train_loss: 0.406589:	 - test_loss: 0.442411:	 mIoU 0.6825
12/02/2023 15:14:59 - 0178:	 - train_loss: 0.386565:	 - test_loss: 0.435402:	 mIoU 0.6920
12/02/2023 15:15:03 - 0179:	 - train_loss: 0.383731:	 - test_loss: 0.440398:	 mIoU 0.6847
12/02/2023 15:15:06 - 0180:	 - train_loss: 0.388558:	 - test_loss: 0.443564:	 mIoU 0.6879
12/02/2023 15:15:10 - 0181:	 - train_loss: 0.379214:	 - test_loss: 0.448811:	 mIoU 0.6747
12/02/2023 15:15:13 - 0182:	 - train_loss: 0.407023:	 - test_loss: 0.445284:	 mIoU 0.6764
12/02/2023 15:15:17 - 0183:	 - train_loss: 0.411564:	 - test_loss: 0.449097:	 mIoU 0.6698
12/02/2023 15:15:20 - 0184:	 - train_loss: 0.392448:	 - test_loss: 0.446794:	 mIoU 0.6765
12/02/2023 15:15:24 - 0185:	 - train_loss: 0.381129:	 - test_loss: 0.448931:	 mIoU 0.6724
12/02/2023 15:15:27 - 0186:	 - train_loss: 0.402871:	 - test_loss: 0.446473:	 mIoU 0.6793
12/02/2023 15:15:31 - 0187:	 - train_loss: 0.379191:	 - test_loss: 0.448661:	 mIoU 0.6753
12/02/2023 15:15:34 - 0188:	 - train_loss: 0.397255:	 - test_loss: 0.444473:	 mIoU 0.6836
12/02/2023 15:15:38 - 0189:	 - train_loss: 0.390868:	 - test_loss: 0.440131:	 mIoU 0.6867
12/02/2023 15:15:41 - 0190:	 - train_loss: 0.405057:	 - test_loss: 0.441978:	 mIoU 0.6806
12/02/2023 15:15:45 - 0191:	 - train_loss: 0.424018:	 - test_loss: 0.451527:	 mIoU 0.6727
12/02/2023 15:15:48 - 0192:	 - train_loss: 0.389173:	 - test_loss: 0.447035:	 mIoU 0.6799
12/02/2023 15:15:52 - 0193:	 - train_loss: 0.383231:	 - test_loss: 0.438393:	 mIoU 0.6888
12/02/2023 15:15:55 - 0194:	 - train_loss: 0.401149:	 - test_loss: 0.436555:	 mIoU 0.6884
12/02/2023 15:15:59 - 0195:	 - train_loss: 0.385442:	 - test_loss: 0.461754:	 mIoU 0.6535
12/02/2023 15:16:02 - 0196:	 - train_loss: 0.377991:	 - test_loss: 0.446682:	 mIoU 0.6763
12/02/2023 15:16:05 - 0197:	 - train_loss: 0.388390:	 - test_loss: 0.446865:	 mIoU 0.6767
12/02/2023 15:16:09 - 0198:	 - train_loss: 0.386958:	 - test_loss: 0.473462:	 mIoU 0.6444
12/02/2023 15:16:12 - 0199:	 - train_loss: 0.390456:	 - test_loss: 0.438379:	 mIoU 0.6875
12/02/2023 15:16:16 - 0200:	 - train_loss: 0.376977:	 - test_loss: 0.433971:	 mIoU 0.6910
12/02/2023 15:16:19 - 0201:	 - train_loss: 0.371807:	 - test_loss: 0.434019:	 mIoU 0.6923
12/02/2023 15:16:23 - 0202:	 - train_loss: 0.377626:	 - test_loss: 0.433245:	 mIoU 0.6936
